land_size_ha,farming_history_years,cooperative_member,tarsim_history_score,fertilizer_purchases,climate_risk_score,repaid,synthetic
38.810824403520186,10,0,0.7207283866671284,4,0.4552202554981446,0,True
22.224482767726588,6,1,0.7112377614746703,7,0.9629086218064256,0,True
43.00059703561343,16,1,0.2026950310833242,18,0.10967318412105187,1,True
35.01971743843851,20,1,0.036655395168237126,2,0.5679723685421296,0,True
5.161778720438652,8,1,0.30379952180706926,2,0.3412875131745584,0,True
48.79330640601942,23,0,0.1571363048589508,6,0.6463403417325573,0,True
38.176415248522474,19,0,0.39578847921569404,12,0.6487067270227045,1,True
39.410183111209214,5,0,0.9793461191526043,16,0.24059148668401853,0,True
6.841624817439521,29,1,0.18107137090522096,11,0.7858094003060662,0,True
22.794103925830573,1,1,0.31887394342296893,10,0.09126247133480792,1,True
18.854502199512773,20,1,0.7251143163195723,18,0.818138871087333,1,True
46.37486694800579,13,1,0.5091827828619216,3,0.21196685857949404,1,True
32.37132344399289,20,0,0.043928143573384926,18,0.5895792984916527,0,True
41.22669985690608,23,1,0.16169001816132167,6,0.34730972690277007,1,True
22.44900284195289,21,1,0.9352495547731959,5,0.6097798266218947,1,True
11.748316728346456,20,1,0.10316499273902846,20,0.2674178482743774,1,True
27.951946957283823,26,1,0.6350927872097057,13,0.5689636719505107,1,True
3.6589541771566787,21,1,0.7923256488409115,9,0.008198260213564179,1,True
41.46774301363281,25,0,0.2654390627249239,6,0.374454457617202,0,True
31.76738775654221,12,1,0.7250780031386901,9,0.8263893790621891,1,True
38.025343134226006,6,0,0.16989517903018025,16,0.46300658650550774,0,True
18.049035422428485,7,1,0.28475027483379034,3,0.49926109898996573,0,True
48.54955220754771,18,1,0.31182203088420746,3,0.621576837913993,1,True
44.709495505448785,16,1,0.9964349905642236,6,0.43420959883398236,1,True
39.02998310515121,2,0,0.2145722952179573,10,0.8670767277238136,0,True
10.134616038672394,6,0,0.129207464633585,17,0.4033246698481886,0,True
23.60268968448819,29,1,0.9256914374814104,4,0.9425524342432506,1,True
2.6682864064678244,22,1,0.16193069382035274,16,0.8769380233242583,0,True
8.137329857343618,23,0,0.8792799196294053,19,0.42108778265898517,1,True
34.3109231855015,6,1,0.65045662764669,9,0.3658008745986372,1,True
37.36572671743695,1,1,0.5768614980705188,20,0.6766280189001683,1,True
48.391731755493396,9,1,0.7513387115465768,18,0.7553067486740624,1,True
16.628355227838522,26,0,0.7259989571480501,16,0.18586157732458808,1,True
18.83775544872601,15,1,0.11052618941831371,7,0.24104520318648237,1,True
23.74301265815249,24,0,0.9994661104066891,6,0.14625251664849293,1,True
9.878832274672142,15,1,0.9418897264487286,18,0.7606918781883185,1,True
6.931114514105847,15,1,0.8965919628619162,9,0.7144018649790849,1,True
24.04739384818372,18,0,0.6222891339424068,0,0.1890538143183762,0,True
11.732012778018763,29,1,0.5227913313323141,15,0.536874786154343,1,True
33.655792736784264,13,0,0.5362785838816683,7,0.7642393592033998,0,True
22.139019984180372,18,1,0.01493694422823244,19,0.9470286627433728,0,True
41.71757070486295,28,0,0.49946950194544293,17,0.1785226541310314,1,True
35.16312254911133,11,1,0.6237695676599199,2,0.30432977988968923,0,True
15.962148748411034,26,0,0.6587062087749485,18,0.3483397836390738,1,True
41.696860169062454,16,0,0.332139465051313,19,0.6249773591332093,0,True
40.33583569609169,27,0,0.4712823502935495,15,0.13641885020898714,1,True
19.680179761993635,14,1,0.6363106066625744,5,0.1934290692513928,1,True
14.772241144547083,19,0,0.4283055102751817,14,0.7804368373919862,0,True
34.28352744676128,10,0,0.9621351989835252,18,0.5420536658560705,1,True
7.417747938660836,19,0,0.7054421098520003,17,0.1603862315284582,0,True
10.395456022517862,10,0,0.001273746250890495,9,0.38843274800822536,0,True
0.8644323526747728,18,0,0.023279481482253006,14,0.1344941953317328,0,True
39.45275668635585,24,1,0.6903002034683744,8,0.3626900012368419,1,True
33.41011740130559,13,1,0.4126450975455027,5,0.40019929521163566,1,True
35.40568624200359,13,1,0.8394709492122663,14,0.11211041162539626,1,True
39.14608703558741,9,1,0.17301540948626204,9,0.05983342618604204,1,True
23.216330889147827,22,1,0.013826914052291861,4,0.8816018902575307,0,True
28.65268919966824,18,0,0.3880823501137123,13,0.8876480896402189,0,True
7.419951407319044,16,1,0.736064104307449,6,0.002578875212649878,1,True
6.169238640030685,0,0,0.9717277333775686,12,0.6412040964241364,0,True
33.58594660862835,3,1,0.8836538793510554,7,0.09367900753897984,1,True
23.81926220408506,0,0,0.48407461193713885,18,0.8101416455313178,0,True
28.479187270818848,26,1,0.8128172831963666,17,0.8795623921537515,1,True
38.36744344209327,26,0,0.07033045786761405,9,0.6166151553702259,0,True
31.918556840029247,2,0,0.5722723475848833,14,0.6131554572029421,0,True
27.902180332570794,1,0,0.9242984130144701,3,0.37148150905372423,0,True
28.180754456897972,24,1,0.39638514749073994,20,0.24946896936286167,1,True
15.545529854099303,16,0,0.9601006296631156,4,0.4992708291532464,1,True
2.0254828111130005,9,0,0.2206850967291053,18,0.13371722347655401,0,True
22.11751076700194,19,0,0.10563380953339352,17,0.6722248948609137,0,True
11.121941304566695,7,1,0.5247623360817011,3,0.4700868953797185,1,True
20.72216786436949,6,1,0.9072468719812243,0,0.17760150603093072,1,True
42.74345212677422,11,1,0.3112792187447442,15,0.5883142527892828,1,True
12.080004550334367,27,1,0.8001603193989524,18,0.795327836585729,1,True
3.385985713608768,23,0,0.16919726588028094,15,0.5887994616671309,0,True
14.42850265508883,5,1,0.7455703960009396,1,0.5296614116565442,1,True
15.03289100945084,17,0,0.557026941387431,13,0.84771747813081,0,True
33.26486747898131,27,0,0.17501697539437222,8,0.010755385000829953,1,True
28.073091540893277,29,0,0.7180872494376086,19,0.6167476278346294,1,True
39.30296135076747,23,0,0.7137561134564273,16,0.40969218319456746,1,True
33.383520246205684,3,0,0.5154352291434403,16,0.1935661486576693,0,True
20.616149641283492,7,1,0.22546763764267463,8,0.9795778500860997,0,True
40.79400904096872,6,1,0.13229389224499655,6,0.40381382914718933,0,True
8.765159535431344,4,0,0.9572550484597893,17,0.33526281244222256,1,True
1.6242476201260936,5,0,0.6558125382591552,2,0.16900843974064672,0,True
4.957369108394267,9,1,0.809241483573384,2,0.9977659512454841,0,True
36.25678785452429,17,0,0.6969705290502416,1,0.8560513560296767,0,True
23.362922897443674,12,1,0.8294736651922889,10,0.06997241867495119,1,True
8.482953062163288,13,0,0.16249081974892343,1,0.5657538761271833,0,True
25.301716367616496,7,1,0.4969502245470444,12,0.14740121087546587,0,True
8.039449084301836,4,1,0.6671247705022934,3,0.715781415012947,0,True
34.967858566347935,30,0,0.10338989989521796,18,0.484083429260437,1,True
22.58473564091452,18,0,0.1499569493284083,9,0.11038896419927591,0,True
19.360550691775885,7,1,0.6339825942509465,1,0.5570388912642898,0,True
15.424848412819887,25,0,0.86870580425382,14,0.9106756511028123,1,True
31.698988359384977,25,0,0.6604161789415977,7,0.34119468233315253,1,True
18.409724222392825,29,0,0.036204813456075624,5,0.05080561476197898,0,True
4.838671006146999,4,0,0.970432917090323,13,0.9452071112646443,0,True
6.341292154965508,19,1,0.13950690090624507,20,0.14179918800945057,1,True
48.11393439520097,30,0,0.23256223355248973,20,0.47505200088123367,1,True
45.47474419002655,25,0,0.9749672819047243,9,0.5446771278482843,1,True
35.135503123632105,6,1,0.7710329966533749,17,0.23708746318125673,1,True
13.66056309224622,27,1,0.9365766803785066,4,0.177418032038139,1,True
48.47423067871233,13,1,0.8066196928080297,17,0.11313888061485966,1,True
39.04816974630683,15,1,0.6517344750032,19,0.06995528235397341,1,True
35.98606436337028,17,0,0.284552998863006,10,0.5081265476803448,1,True
22.743394356117538,23,1,0.3268814416995254,10,0.8420207768343164,0,True
13.975957311335371,3,0,0.9472710730443697,11,0.1267587713666013,0,True
5.271352626598215,16,1,0.8606256161556446,1,0.7006190284454984,0,True
45.17881862892016,25,1,0.35949044844232647,18,0.4126207704235999,1,True
23.060926346763747,17,1,0.3732674176207038,15,0.03522423897058613,1,True
10.5169865573639,8,1,0.29769439027588473,18,0.5359723100047215,0,True
15.6448528954573,1,0,0.32613014262500395,2,0.2520082661331764,0,True
29.171368662623852,17,0,0.8606674662887857,16,0.6052540930405024,1,True
9.25025275549197,21,1,0.010506856589846847,7,0.3493230108388712,1,True
42.902407062572586,17,0,0.4360526211095247,17,0.666452318262959,1,True
38.0467167268429,30,1,0.9428396785279078,20,0.918503362931029,1,True
36.11341631957137,18,1,0.5426363551828088,18,0.24454456208145914,1,True
21.888605468867635,15,0,0.4504457901439035,19,0.9398404689876976,1,True
31.551787614770937,1,1,0.3123698046995881,2,0.2043088602503319,1,True
29.41284946118041,17,1,0.07391262986190383,6,0.07069488222336306,1,True
32.66740677696359,5,1,0.22448647802751287,6,0.19270098738807973,1,True
4.67999389642451,22,0,0.09045840993687126,10,0.8149166995155483,0,True
21.082466407445178,4,0,0.12669942971542825,20,0.6775562452645418,0,True
2.5599016061636775,28,0,0.1635165441262698,14,0.9708341532614312,0,True
24.952545552603688,9,0,0.30202943208427846,11,0.7098273104249307,0,True
16.828130010472872,13,0,0.011016679995535461,16,0.41263126503663394,0,True
7.6539473488693215,4,0,0.9501438855932477,3,0.8924309741328762,0,True
5.618446902266307,6,0,0.12381909267697455,13,0.9581285182084599,0,True
29.588406322796747,28,0,0.38314887235958706,10,0.7916549209601059,0,True
8.944351942575862,8,1,0.8795275597147806,4,0.556639585835101,1,True
46.29344585965146,15,1,0.10656797019076225,13,0.8257657813055628,1,True
29.26252641516955,30,1,0.4836042517541208,17,0.17904470733428157,1,True
17.670055324474436,19,0,0.8447835975413958,17,0.9003500229293864,0,True
29.750316828330128,1,1,0.5569626240341401,17,0.999558982486536,0,True
1.6287916159700262,11,1,0.21034359542276004,17,0.6651401664553453,1,True
47.948681055451544,11,0,0.7355095314125814,9,0.19588903958000847,0,True
24.37402012867356,8,1,0.6813410628675078,1,0.1444366621953218,1,True
39.24539374888917,7,0,0.3621859065469243,20,0.9594144056003471,0,True
4.595134996160709,15,1,0.046295161581375144,9,0.8713528213683255,0,True
24.589587376488936,11,0,0.007864689896093902,13,0.748678851564767,0,True
24.789996220548787,9,1,0.8253928831271716,0,0.9491192536154113,0,True
